movie_name,genres
Holiday,"['Action', 'Crime', 'Thriller', 'Back to top']"
Hindi Medium,"['Comedy', 'Drama', 'Back to top']"
Baazigar,"['Crime', 'Drama', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Masaan,"['Drama', 'Back to top']"
Zero,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Badla,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Tamasha,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Chehre,"['Drama', 'Mystery', 'Thriller', 'Back to top']"
Chhapaak,"['Biography', 'Drama', 'Back to top']"
Jaane Tu... Ya Jaane Na,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Kaabil,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Dhoom:2,"['Action', 'Crime', 'Thriller', 'Back to top']"
Rustom,"['True Crime', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Bhool Bhulaiyaa,"['Psychological Horror', 'Comedy', 'Horror', 'Mystery', 'Thriller', 'Back to top']"
Bhoot Police,"['Parody', 'Comedy', 'Horror', 'Back to top']"
Haseen Dillruba,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Kapoor & Sons,"['Comedy', 'Crime', 'Drama', 'Family', 'Romance', 'Back to top']"
Monsoon Wedding,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Bodyguard,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
2 States,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Sarfarosh,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Padman,"['Comedy', 'Drama', 'Back to top']"
Jolly LLB 2,"['Comedy', 'Crime', 'Drama', 'Back to top']"
Gabbar Is Back,"['One-Person Army Action', 'Action', 'Crime', 'Drama', 'Back to top']"
Secret Superstar,"['Drama', 'Music', 'Back to top']"
Madras Cafe,"['Spy', 'Action', 'Drama', 'Thriller', 'Back to top']"
Bhuj: The Pride of India,"['Action', 'Drama', 'History', 'War', 'Back to top']"
Agneepath,"['Action', 'Crime', 'Drama', 'Back to top']"
Atrangi Re,"['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance', 'Back to top']"
War,"['Action Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller', 'Back to top']"
Wanted,"['Action', 'Crime', 'Thriller', 'Back to top']"
2.0,"['Action', 'Sci-Fi', 'Thriller', 'Back to top']"
Heropanti 2,"['Action', 'Comedy', 'Crime', 'Romance', 'Back to top']"
Parmanu: The Story of Pokhran,"['Action', 'Drama', 'History', 'Back to top']"
Koi... Mil Gaya,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Back to top']"
Khosla Ka Ghosla!,"['Comedy', 'Crime', 'Drama', 'Back to top']"
Bang Bang,"['Action', 'Adventure', 'Comedy', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Badlapur,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Darr,"['Action', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Guru,"['Drama', 'Back to top']"
Simmba,"['Cop Drama', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Back to top']"
Lakshya,"['Action', 'Drama', 'Romance', 'War', 'Back to top']"
Bareilly Ki Barfi,"['Comedy', 'Romance', 'Back to top']"
Jo Jeeta Wohi Sikandar,"['Comedy', 'Drama', 'Romance', 'Sport', 'Back to top']"
Ae Dil Hai Mushkil,"['Drama', 'Music', 'Musical', 'Romance', 'Back to top']"
Detective Byomkesh Bakshy!,"['Dark Comedy', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Jhund,"['Biography', 'Drama', 'Sport', 'Back to top']"
Krrish 3,"['Superhero', 'Action', 'Adventure', 'Sci-Fi', 'Back to top']"
Phir Hera Pheri,"['Comedy', 'Crime', 'Back to top']"
Neerja,"['Biography', 'Drama', 'Thriller', 'Back to top']"
Rowdy Rathore,"['One-Person Army Action', 'Action', 'Comedy', 'Crime', 'Back to top']"
Dil To Pagal Hai,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Sonu Ke Titu Ki Sweety,"['Comedy', 'Romance', 'Back to top']"
Bellbottom,"['Action', 'Thriller', 'Back to top']"
Rock On!!,"['Drama', 'Music', 'Back to top']"
Welcome,"['Comedy', 'Crime', 'Drama', 'Romance', 'Back to top']"
Prem Ratan Dhan Payo,"['Action', 'Drama', 'Musical', 'Romance', 'Back to top']"
Ugly,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Namastey London,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mulk,"['Drama', 'Back to top']"
Student of the Year 2,"['Action', 'Comedy', 'Drama', 'Romance', 'Sport', 'Back to top']"
Pyaar Ka Punchnama,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Hum Aapke Hain Koun..!,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Krrish,"['Superhero', 'Action', 'Adventure', 'Sci-Fi', 'Back to top']"
Toilet - Ek Prem Katha,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Black Friday,"['True Crime', 'Action', 'Crime', 'Drama', 'History', 'Back to top']"
Omkara,"['Dark Comedy', 'Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Jab Harry Met Sejal,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Goliyon Ki Rasleela Ram-Leela,"['Drama', 'Musical', 'Romance', 'Back to top']"
Rocket Singh: Salesman of the Year,"['Satire', 'Comedy', 'Drama', 'Back to top']"
Tubelight,"['Drama', 'War', 'Back to top']"
A Thursday,"['Drama', 'Thriller', 'Back to top']"
Jolly LLB,"['Comedy', 'Crime', 'Drama', 'Back to top']"
Kabhi Alvida Naa Kehna,"['Drama', 'Romance', 'Back to top']"
Dasvi,"['Comedy', 'Drama', 'Back to top']"
Newton,"['Dark Comedy', 'Comedy', 'Drama', 'Back to top']"
Shiddat,"['Romance', 'Back to top']"
Good Newwz,"['Comedy', 'Drama', 'Back to top']"
Dum Laga Ke Haisha,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mrs. Serial Killer,"['Serial Killer', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Kesari,"['Action Epic', 'Epic', 'Period Drama', 'Action', 'Drama', 'History', 'Thriller', 'War', 'Back to top']"
Jai Ho,"['Action', 'Drama', 'Back to top']"
Nayakan,"['Epic', 'Gangster', 'Crime', 'Drama', 'Back to top']"
Thugs of Hindostan,"['Action', 'Adventure', 'Back to top']"
Ek Villain,"['Psychological Thriller', 'Serial Killer', 'Action', 'Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Chhalaang,"['Comedy', 'Drama', 'Sport', 'Back to top']"
Khuda Haafiz,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Golmaal,"['Comedy', 'Romance', 'Back to top']"
Manjhi: The Mountain Man,"['Biography', 'Drama', 'Back to top']"
Tere Naam,"['Tragic Romance', 'Action', 'Drama', 'Romance', 'Back to top']"
Wazir,"['Conspiracy Thriller', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Dabangg 3,"['Cop Drama', 'One-Person Army Action', 'Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Hum Dil De Chuke Sanam,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Dabangg 2,"['Cop Drama', 'One-Person Army Action', 'Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Guzaarish,"['Drama', 'Romance', 'Back to top']"
