,imdb-id,movie_name,year_of_release,runtime,IMDB_rating,no_of_votes,plot_description,director,actors
4550,tt0833499,Mashooka,(2005),107 min,5.4,38,Vicky loves Monica but is left heartbroken when she leaves him and gets married to Jeet. Vicky moves to another city and gets involved with Sanjana. But Monica's return to his life threatens Sanjana.,Afzal Ahmad,"    Afzal Ahmad|     Aditya Bal, Meghna Naidu, Vidya Malvade, Usha Bachani"
4551,tt0482800,Mr. India,(1961),179 min,7.0,38,A naive unemployed youth is mistaken for a look-alike gangster.,G.P. Sippy,"    G.P. Sippy|     Geeta Bali, I.S. Johar, Helen, Kamaljit Singh"
4552,tt0424298,Nache Nagin Gali Gali,(1989),131 min,5.4,38,"While trying to save themselves from an evil black magician, two shape-shifting snakes who are in love with each other get separated in a crowd. As young adults, they both try to find each other.",Mohanji Prasad,"    Mohanji Prasad|     Meenakshi Sheshadri, Nitish Bharadwaj, Sadashiv Amrapurkar, Sahila Chaddha"
4553,tt0403200,Khilona,(I) (1996),136 min,7.1,38,"After being double crossed by his boss Dabla, Rajkumar takes revenge on him and becomes the ruling Don of the city. His arch enemy, Ronny, carries out several attacks towards him but fails ...                See full summary »",Deepak Pawar,"    Deepak Pawar|     Aditya Pancholi, Shakti Kapoor, Mohan Joshi, Monica Bedi"
4554,tt0364551,Nasihat,(1986),139 min,5.4,38,"Indrani, a daughter of a multimillionaire Seth Ratanlal, falls in love with an ordinary but honest Dinesh and vows to marry him. Dishonest and cunning servant Mohanlal gets hurt to know ...                See full summary »",Aravind Sen,"    Aravind Sen|     Rajesh Khanna, Shabana Azmi, Deepti Naval, Mithun Chakraborty"
4555,tt0363846,Nishana,(1995), ,5.4,38,"Nishana is a tale of Revenge, where Mithun bumps off the enemies of him as well as his love, Rekha.",Raj N. Sippy,"    Raj N. Sippy|     Mithun Chakraborty, Rekha, Paresh Rawal, Pankaj Dheer"
4556,tt0362766,Inteha Pyar Ki,(1992),159 min,4.1,38,"Bombay-based Rohit is the only son of multi-millionaire widow of Shankar Dayal Walia. She would like to get him married, but Rohit is more interested in alcohol, dancing courtesans, and ...                See full summary »",J.K. Bihari,"    J.K. Bihari|     Vikas Anand, Aparajita, Govardhan Asrani, Sudha Chandran"
4557,tt0359076,Chunaoti,(1980), ,5.4,38,Add a Plot,Satpal,"    Satpal|     Feroz Khan, Neetu Singh, Dharmendra, Danny Denzongpa"
4558,tt0349635,Jaane Jigar,(1998),175 min,3.9,38,"Ravi and Vijay's friendship was an example by itself. One was Life-Jaan, the other Jigar-Courage, the famous singer Ravi Kumar and the daring Vijay Kumar. Vijay's mother looked after Ravi ...                See full summary »",Arshad Khan,"    Arshad Khan, Talat Jani|     Jackie Shroff, Ayub Khan, Mamta Kulkarni, Manek Bedi"
4559,tt0284443,Saas Bhi Kabhi Bahu Thi,(1970), ,6.8,38,"Pretty Sadhana, the daughter of Rangpur-based widow, Bhagmati, falls in love, and gets married to Haripur-based Deepak Chaudhary, who lives with his dad, Motilal; and mom, Maya. It is here ...                See full summary »",V. Madhusudan Rao,"    V. Madhusudan Rao|     Sanjay Khan, Leena Chandavarkar, Jagdeep, Lalita Pawar"
